ID,英雄名,碎片消耗,消耗契约石,1强所需灵魂石1,1强所需灵魂石数量1,1强所需灵魂石2,1强所需灵魂石数量2,1强所需灵魂石3,1强所需灵魂石数量3,1强先攻加成,1强防御加成,1强闪避加成,1强王者加成,契约等级,消耗魂骨,消耗魂骨2
number,string,number,number,number,number,number,number,number,number,number,number,number,number,number,string,string
ID,name,soul_chip,contract_stone,soul_type1,soul_num1,soul_type2,soul_num2,soul_type3,soul_num3,speed,defense,dodge,authority,contract_level,soul_bone_num1,soul_bone_num2
10000002,查托夫,0,,60000001,0,,,,,0,0,1,0,0,0,0
10000003,莉莉,0,,60000001,0,,,,,0,1,0,0,0,0,0
10000004,克罗达斯,0,,60000001,0,,,,,0,1,0,0,0,0,0
10000005,艾丽娜,0,,60000001,0,,,,,0,0,2,0,0,0,0
11000001,守护士兵,0,,60000001,0,,,,,0,0,1,0,0,0,0
11000002,利刃狂战士,0,,60000001,0,,,,,0,1,0,0,0,0,0
11000003,持刀护卫,0,,60000001,0,,,,,1,0,0,0,0,0,0
11000004,静怡守卫,0,,60000001,0,,,,,0,0,1,0,0,0,0
11000005,黑盾武士,0,,60000001,0,,,,,0,0,1,0,0,0,0
11000006,无垢者,0,,60000001,0,,,,,1,0,0,0,0,0,0
11000007,长弓射手,0,,60000001,0,,,,,1,0,0,0,0,0,0
11000008,魔法学徒,0,,60000001,0,,,,,0,1,0,0,0,0,0
11000009,可爱的小男孩,0,,60000001,0,,,,,0,0,1,0,0,0,0
11000010,路边的小女孩,0,,60000001,0,,,,,0,0,1,0,0,0,0
11000011,努力的平凡人,0,,60000001,0,,,,,0,1,0,0,0,0,0
11000012,拐杖老者,0,,60000001,0,,,,,1,0,0,0,0,0,0
11000013,闲逛婆婆,0,,60000001,0,,,,,1,0,0,0,0,0,0
11000014,女佣,0,,60000001,0,,,,,0,0,1,0,0,0,0
11000015,滑稽小丑,0,,60000001,0,,,,,1,0,0,0,0,0,0
11000016,酒馆兔女郎A,0,,60000001,0,,,,,1,1,0,0,0,0,0
11000017,酒馆兔女郎B,0,,60000001,0,,,,,1,0,0,0,0,0,0
11000018,酒馆兔女郎C,0,,60000001,0,,,,,0,1,0,0,0,0,0
11000019,酒馆兔女郎D,0,,60000001,0,,,,,1,0,0,0,0,0,0
11000020,皇家女仆,0,,60000001,0,,,,,1,0,0,0,0,0,0
11000021,天才少年凯,0,,60000001,0,,,,,0,0,1,0,0,0,0
11000022,苏罗斯,0,,60000001,0,,,,,0,0,1,0,0,0,0
11000023,异国传教士,0,,60000001,0,,,,,0,1,0,0,0,0,0
11000024,土豪,0,,60000001,0,,,,,1,0,0,0,0,0,0
11000025,不起眼的青年,0,,60000001,0,,,,,1,0,0,0,0,0,0
11000026,圣诞老人,0,,60000001,0,,,,,1,0,0,0,0,0,0
11000027,认真的小女孩,0,,60000001,0,,,,,1,0,0,0,0,0,0
11000028,圣诞驯鹿,0,,60000001,0,,,,,0,1,0,0,0,0,0
11000029,圣诞杂耍者,0,,60000001,0,,,,,1,0,0,0,0,0,0
11000030,丛林密语者,0,,60000001,0,,,,,0,0,1,0,0,0,0
11000031,恐怖毒尾蝎,0,,60000001,0,,,,,1,1,0,0,0,0,0
11000032,黑色屠杀者,0,,60000001,0,,,,,2,0,0,0,0,0,0
11000033,火山怒龙,0,,60000001,0,,,,,2,0,0,0,0,0,0
11000034,疾风怒龙,0,,60000001,0,,,,,1,0,1,0,0,0,0
11000035,冰封怒龙,100,,60000001,3,,,,,0,1,1,0,1,48|24,0
11000036,超能力小孩,0,,60000001,0,,,,,1,1,0,0,0,0,0
12000001,汪汪犬,0,,60000001,0,,,,,0,0,1,0,0,0,0
12000002,喵喵猫,0,,60000001,0,,,,,1,0,0,0,0,0,0
12000003,鸡群首领,0,,60000001,0,,,,,1,0,0,0,0,0,0
12000004,沉默的羔羊,0,,60000001,0,,,,,0,0,1,0,0,0,0
12000005,迟钝奶牛,0,,60000001,0,,,,,0,0,1,0,0,0,0
12000006,褐色老马,0,,60000001,0,,,,,1,0,0,0,0,0,0
12000007,森林座狼,0,,60000001,0,,,,,1,0,0,0,0,0,0
12000008,群居老鼠,0,,60000001,0,,,,,0,0,1,0,0,0,0
13000001,暴力打手,0,,60000001,0,,,,,0,1,0,0,0,0,0
13000002,商店街屠夫,0,,60000001,0,,,,,0,1,0,0,0,0,0
13000003,蒙面刺客,0,,60000001,0,,,,,0,0,1,0,0,0,0
13000004,黑衣巫师,0,,60000001,0,,,,,0,0,1,0,0,0,0
13000005,堕落护卫,0,,60000001,0,,,,,0,1,0,0,0,0,0
13000006,恐惧影魔,0,,60000001,0,,,,,0,0,1,0,0,0,0
13000007,残破骷髅人,0,,60000001,0,,,,,0,1,0,0,0,0,0
13000008,怒火地精,0,,60000001,0,,,,,0,1,0,0,0,0,0
13000009,持镰执行者,0,,60000001,0,,,,,1,1,0,0,0,0,0
13000010,热情魅魔,0,,60000001,0,,,,,1,0,0,0,0,0,0
13000011,冰艳魅魔,0,,60000001,0,,,,,0,1,0,0,0,0,0
13000012,恶魔食人花,0,,60000001,0,,,,,0,1,0,0,0,0,0
13000013,剧毒食人花,0,,60000001,0,,,,,1,0,0,0,0,0,0
13000014,脆弱的史莱姆,0,,60000001,0,,,,,1,0,0,0,0,0,0
13000015,易碎的史莱姆,0,,60000001,0,,,,,0,1,0,0,0,0,0
13000016,噩梦召唤者,0,,60000001,0,,,,,0,0,1,0,0,0,0
13000017,撕咬蜘蛛,0,,60000001,0,,,,,0,1,0,0,0,0,0
13000018,大妖精,0,,60000001,0,,,,,2,0,0,0,0,0,0
14000001,魔化市民,0,,60000001,0,,,,,0,0,1,0,0,0,0
14000002,魔化小女孩,0,,60000001,0,,,,,1,0,0,0,0,0,0
14000003,魔化小男孩,0,,60000001,0,,,,,1,0,0,0,0,0,0
14000004,魔化罪恶铁匠,0,,60000001,0,,,,,1,0,0,0,0,0,0
14000005,魔化女祭司,0,,60000001,0,,,,,0,0,1,0,0,0,0
14000006,魔化商人,0,,60000001,0,,,,,0,1,0,0,0,0,0
15000001,火元素,0,,60000001,0,,,,,0,1,0,0,0,0,0
15000002,水元素,0,,60000001,0,,,,,1,0,0,0,0,0,0
15000003,冰元素,0,,60000001,0,,,,,1,0,0,0,0,0,0
15000004,光之子,0,,60000001,0,,,,,0,1,0,0,0,0,0
15000005,暴躁的火元素,0,,60000001,0,,,,,0,1,0,0,0,0,0
15000006,热焰火精灵,0,,60000001,0,,,,,0,2,0,0,0,0,0
15000007,静怡水精灵,0,,60000001,0,,,,,1,0,0,0,0,0,0
15000008,自然同步者,0,,60000001,0,,,,,0,0,1,0,0,0,0
15000009,光之祭司,0,,60000001,0,,,,,1,0,0,0,0,0,0
15000010,光之教父,0,,60000001,0,,,,,1,0,1,0,0,0,0
15000011,坚冰魅魔,0,,60000001,0,,,,,0,1,0,0,0,0,0
15000012,激流水妖,0,,60000001,0,,,,,0,0,1,0,0,0,0
16000001,尼薇尔,0,,60000001,0,,,,,1,0,0,0,0,0,0
16000002,暴力迪卡,0,,60000001,0,,,,,0,0,1,0,0,0,0
16000003,魔人亚非德,0,,60000001,0,,,,,0,0,1,0,0,0,0
16000004,魔化人凯,0,,60000001,0,,,,,0,0,1,0,0,0,0
16000005,魔化人柯西,0,,60000001,0,,,,,1,0,0,0,0,0,0
16000006,迪菲亚头目,0,,60000001,0,,,,,1,0,0,0,0,0,0
16000007,赤炎特工,0,,60000001,0,,,,,0,0,1,0,0,0,0
16000008,赤眼阿菲德,0,,60000001,0,,,,,1,0,0,0,0,0,0
16000009,京阶,0,,60000001,0,,,,,0,0,1,0,0,0,0
16000010,新吧唧,0,,60000001,0,,,,,1,0,0,0,0,0,0
16000011,阿妙姐,0,,60000001,0,,,,,1,0,0,0,0,0,0
16000012,抖m小猿,0,,60000001,0,,,,,1,0,0,0,0,0,0
16000013,松平片米虎,0,,60000001,0,,,,,0,1,0,0,0,0,0
16000014,小苹果,0,,60000001,0,,,,,0,1,1,1,0,0,0
17000001,美狄亚,0,,60000001,0,,,,,2,0,0,0,0,0,0
17000002,佐佐木小次郎,0,,60000001,0,,,,,0,1,1,0,0,0,0
17000003,洛基,0,,60000001,0,,,,,2,0,0,0,0,0,0
17000004,海格利斯,100,,60000001,3,,,,,2,0,0,0,1,48|24,0
17000005,范海辛,0,,60000001,0,,,,,0,2,0,0,0,0,0
